pearson_r,target_positive_proportion,roc_auc,estimate__count__
0.08,0.25,206.59916092225075,384.0
0.08,0.3,191.95103719012607,357.0
0.08,0.35,199.10956850134627,371.0
0.08,0.4,185.84230995845056,346.0
0.08,0.45,194.6831085147142,363.0
0.08,0.48,0.5323066610495741,0.0
0.08,0.5,199.98720379631013,373.0
0.08,0.55,179.42791176573687,335.0
0.08,0.6,194.6296291198339,363.0
0.08,0.65,182.4687211434888,340.0
0.08,0.7,197.73229068578053,368.0
0.08,0.75,195.62732498865049,363.0
0.08,0.8,185.2891912242237,343.0
0.08,0.85,210.03827582489245,388.0
0.08,0.87,0.5415411717700047,0.0
0.08,0.9,208.0809990157561,382.0
0.08,0.95,194.6588214876841,355.0
0.09,0.05,205.5952586715805,370.0
0.09,0.1,211.6565692230211,385.0
0.09,0.15,184.56458750077027,338.0
0.09,0.2,190.48104035781847,350.0
0.09,0.25,173.2683783826285,319.0
0.09,0.3,204.414115747632,377.0
0.09,0.35,196.6407311943528,363.0
0.09,0.4,189.85447982096125,351.0
0.09,0.45,181.5873012431846,336.0
0.09,0.5,188.1497293958825,348.0
0.09,0.55,168.65582782674744,312.0
0.09,0.6,196.90278858277125,364.0
0.09,0.65,178.53464562012064,330.0
0.09,0.7,200.6619482856298,370.0
0.09,0.75,204.3117654772705,376.0
0.09,0.8,196.36785660457423,361.0
0.09,0.85,181.4552942360028,332.0
0.09,0.9,189.21130792202607,345.0
0.09,0.95,192.6712483320426,347.0
0.1,0.05,213.6486462478105,381.0
0.1,0.1,199.6734164817877,359.0
0.1,0.15,192.447576787953,349.0
0.1,0.2,209.63276924125483,381.0
0.1,0.22,1.1056777577733137,0.0
0.1,0.25,201.6991707136476,368.0
0.1,0.3,183.5816757190616,336.0
0.1,0.35,179.4640406666099,329.0
0.1,0.4,175.07873212935783,321.0
0.1,0.45,187.20155338472745,343.0
0.1,0.5,197.9587685919853,363.0
0.1,0.55,171.6878798462288,315.0
0.1,0.6,194.2570871625383,356.0
0.1,0.65,191.59591607359465,351.0
0.1,0.7,207.65642806704125,380.0
0.1,0.75,182.8050249370552,334.0
0.1,0.79,0.5509524186550135,0.0
0.1,0.8,183.98250540817307,335.0
0.1,0.85,200.56744171,363.0
0.1,0.9,196.41384315908223,354.0
0.1,0.95,201.08954001971608,358.0
0.11,0.05,189.4435583798102,334.0
0.11,0.1,200.05840883859344,357.0
0.11,0.15,182.73998627797027,328.0
0.11,0.2,204.06289950852127,368.0
0.11,0.25,186.2967871463697,337.0
0.11,0.3,195.7752553104019,355.0
0.11,0.35,178.8580905962005,325.0
0.11,0.4,190.0923547587869,346.0
0.11,0.45,181.8985040043736,331.0
0.11,0.5,193.3042049031793,352.0
0.11,0.55,187.4240764393131,341.0
0.11,0.6,185.85585518076405,338.0
0.11,0.65,201.4593472201477,366.0
0.11,0.7,197.8546245456215,359.0
0.11,0.75,201.8823488684461,365.0
0.11,0.8,205.543476326908,371.0
0.11,0.85,213.1285774907436,383.0
0.11,0.9,196.4856709940813,351.0
0.11,0.95,204.69604421222328,361.0
0.12,0.05,206.15404719548792,360.0
0.12,0.1,206.12054271344724,364.0
0.12,0.15,179.74056498493636,320.0
0.12,0.2,216.71461053150583,387.0
0.12,0.25,195.5565020857497,351.0
0.12,0.3,214.40974524103248,385.0
0.12,0.35,179.50317565514047,323.0
0.12,0.4,183.4976925461536,331.0
0.12,0.45,209.01762539764937,377.0
0.12,0.5,187.3653760041077,338.0
0.12,0.55,206.79336561506952,373.0
0.12,0.6,185.1287472761656,334.0
0.12,0.65,186.06442997545085,335.0
0.12,0.7,190.2604233131215,342.0
0.12,0.75,200.73858381271123,360.0
0.12,0.8,204.3167382072021,365.0
0.12,0.85,201.1515271326517,358.0
0.12,0.9,206.3754659333204,365.0
0.12,0.95,215.1474698801094,375.0
0.13,0.05,207.5172947212133,358.0
0.13,0.1,214.9336122235109,376.0
0.13,0.15,188.3913785358567,332.0
0.13,0.2,210.9737054794201,374.0
0.13,0.25,202.35161929158537,360.0
0.13,0.3,206.4136878481572,368.0
0.13,0.35,204.34957803547303,365.0
0.13,0.4,181.1832671923296,324.0
0.13,0.45,198.18037814097275,355.0
0.13,0.5,201.6867090383056,361.0
0.13,0.55,202.56189925424667,363.0
0.13,0.6,198.6697856556233,355.0
0.13,0.65,216.6562811174969,387.0
0.13,0.7,191.8556019536095,342.0
0.13,0.75,201.9613496224444,359.0
0.13,0.8,197.0354581832638,349.0
0.13,0.85,198.2770162225452,350.0
0.13,0.9,205.26527826418672,359.0
0.13,0.95,199.99199206757527,345.0
0.14,0.05,198.5450904426236,339.0
0.14,0.1,202.81593435787408,352.0
0.14,0.15,202.01247912802447,353.0
0.14,0.2,200.48265149319064,352.0
0.14,0.21,0.564688186041602,0.0
0.14,0.25,192.20832260933537,339.0
0.14,0.3,195.74743134975807,346.0
0.14,0.35,180.768653848246,320.0
0.14,0.4,201.89093344170817,358.0
0.14,0.41,0.554139691284945,0.0
0.14,0.45,189.1631243560184,336.0
0.14,0.5,197.53820001280144,351.0
0.14,0.55,198.79592916733287,353.0
0.14,0.6,223.9801038478436,397.0
0.14,0.65,210.3604629892656,373.0
0.14,0.7,205.82267090364115,364.0
0.14,0.75,215.13902261014107,379.0
0.14,0.8,197.4224029947782,347.0
0.14,0.85,219.8712588644312,384.0
0.14,0.9,199.6084359480412,346.0
0.14,0.95,215.39737190054808,368.0
0.15,0.05,229.0120026893822,387.0
0.15,0.1,210.2233877506635,361.0
0.15,0.15,218.3554720083713,378.0
0.15,0.2,198.9279510373991,346.0
0.15,0.25,184.70332885894896,323.0
0.15,0.3,205.7874365660336,361.0
0.15,0.35,204.73076832042403,360.0
0.15,0.39,0.5693910498399167,0.0
0.15,0.4,200.23717585768927,352.0
0.15,0.45,200.59777667050392,353.0
0.15,0.5,196.85090139461067,347.0
0.15,0.55,194.22176226899256,342.0
0.15,0.6,203.51555444181216,358.0
0.15,0.65,214.57034524790464,377.0
0.15,0.7,200.7726776011611,352.0
0.15,0.75,200.68418236217724,351.0
0.15,0.8,219.8087400437412,383.0
0.15,0.85,202.65163438265435,351.0
0.15,0.9,199.75340144422205,343.0
0.15,0.95,215.3737714682686,363.0
0.16,0.05,214.40316527379449,359.0
0.16,0.1,202.92501749419003,345.0
0.16,0.15,226.7447412206063,389.0
0.16,0.2,221.0728411355553,382.0
0.16,0.25,228.9469806558671,397.0
0.16,0.3,193.8729167073528,337.0
0.16,0.35,200.96396674423065,350.0
0.16,0.4,212.43055829966616,371.0
0.16,0.45,184.8407248096468,323.0
0.16,0.48,0.5701183416778978,0.0
0.16,0.5,199.1713830555749,348.0
0.16,0.55,210.5685320038241,368.0
0.16,0.6,224.0257437708001,391.0
0.16,0.65,207.2271990622131,361.0
0.16,0.7,201.06885587062683,350.0
0.16,0.75,197.74568329570485,343.0
0.16,0.78,0.5965444318710038,0.0
0.16,0.8,213.68220924772328,369.0
0.16,0.85,231.56390015827148,397.0
0.16,0.9,217.0935157475481,370.0
0.16,0.95,205.25609824943865,343.0
0.17,0.05,219.7780490440512,364.0
0.17,0.07,0.5796836331567807,0.0
0.17,0.1,210.15798636178025,354.0
0.17,0.15,211.3091726971444,360.0
0.17,0.2,197.87706931678764,339.0
0.17,0.25,220.995482874018,380.0
0.17,0.3,206.2347597494985,356.0
0.17,0.35,195.5287130320517,338.0
0.17,0.4,204.4319716606678,354.0
0.17,0.45,199.5444795259677,346.0
0.17,0.5,207.33052873106456,360.0
0.17,0.55,192.143984424063,333.0
0.17,0.6,198.46115863791863,344.0
0.17,0.65,211.5619984902878,366.0
0.17,0.7,195.2975588750384,337.0
0.17,0.75,184.9403974915789,318.0
0.17,0.8,197.799828485072,339.0
0.17,0.85,228.47084329066607,389.0
0.17,0.9,204.12424139226647,344.0
0.17,0.95,225.6954357240323,374.0
0.18,0.05,210.5502486829,345.0
0.18,0.1,205.8172701243685,344.0
0.18,0.15,229.9220672866565,388.0
0.18,0.2,208.3395330096868,354.0
0.18,0.25,194.5437269055277,332.0
0.18,0.3,193.43324459666687,331.0
0.18,0.35,219.04752495886177,376.0
0.18,0.4,194.38736165099343,334.0
0.18,0.45,195.8701401463709,336.0
0.18,0.5,200.61445878342383,345.0
0.18,0.55,212.33538713994315,365.0
0.18,0.6,199.0796840070992,342.0
0.18,0.65,216.9465389849171,372.0
0.18,0.7,204.9934966663233,351.0
0.18,0.72,0.5939100539746136,0.0
0.18,0.75,215.3361580371716,367.0
0.18,0.8,191.25484087337813,325.0
0.18,0.85,224.62507219802947,379.0
0.18,0.9,202.3458503641872,338.0
0.18,0.94,0.5927328426666667,0.0
0.18,0.95,214.22351185429488,352.0
0.19,0.05,197.9726693178479,322.0
0.19,0.1,217.0800087529403,359.0
0.19,0.15,213.11875834662777,356.0
0.19,0.2,206.0264621541997,347.0
0.19,0.25,196.14585673250144,332.0
0.19,0.3,220.97494601408928,375.0
0.19,0.35,214.3984305730156,365.0
0.19,0.4,212.2123203827552,362.0
0.19,0.45,196.94068068345123,336.0
0.19,0.5,209.6736866823965,358.0
0.19,0.55,195.00522935302047,333.0
0.19,0.6,189.8317207495956,324.0
0.19,0.65,194.3771463848213,331.0
0.19,0.7,221.90500509900377,377.0
0.19,0.75,215.74130657751016,365.0
0.19,0.8,217.44946225474305,366.0
0.19,0.85,217.0795496703548,363.0
0.19,0.9,205.9180354276592,341.0
0.19,0.95,230.11914897505537,374.0
0.2,0.05,219.0091998953353,352.0
0.2,0.1,207.36970769473024,340.0
0.2,0.15,204.9814145161351,340.0
0.2,0.2,205.27508193802856,343.0
0.2,0.25,207.3462512621121,348.0
0.2,0.3,220.4984807514872,371.0
0.2,0.35,210.58411690583304,356.0
0.2,0.4,206.343154737016,349.0
0.2,0.45,215.03256642731515,364.0
0.2,0.5,209.0598442361973,354.0
0.2,0.55,206.79516190715668,350.0
0.2,0.6,199.71587717760093,338.0
0.2,0.65,222.5616357812933,376.0
0.2,0.7,197.0604220385189,332.0
0.2,0.75,207.3158960055088,348.0
0.2,0.8,214.91649251847423,359.0
0.2,0.85,195.8722706922181,325.0
0.2,0.9,217.8927406126751,357.0
0.2,0.95,219.1653548222796,353.0
0.2,0.96,0.6269635319355062,0.0
0.21,0.05,212.4308540772997,339.0
0.21,0.1,235.08076003866125,382.0
0.21,0.15,215.19070352292783,354.0
0.21,0.2,216.62842197201883,359.0
0.21,0.25,200.5390508112968,334.0
0.21,0.3,211.8320551281322,354.0
0.21,0.35,184.9262803197255,310.0
0.21,0.4,213.79361133679217,359.0
0.21,0.45,218.9528055878076,368.0
0.21,0.5,207.14884871601672,348.0
0.21,0.55,224.9491419694264,378.0
0.21,0.6,217.51444826596435,365.0
0.21,0.65,195.1808016981299,327.0
0.21,0.7,205.38227473295785,343.0
0.21,0.75,203.50506024728284,339.0
0.21,0.8,217.7825044164932,361.0
0.21,0.85,227.5322237527452,374.0
0.21,0.9,218.51403280804047,355.0
0.21,0.95,222.4302804415676,354.0
0.22,0.05,217.52126914635744,342.0
0.22,0.1,208.51853745628893,336.0
0.22,0.15,213.2077502922632,348.0
0.22,0.2,229.14996562957592,376.0
0.22,0.25,213.24835356631823,352.0
0.22,0.29,0.6044045947841349,0.0
0.22,0.3,227.9992154187498,377.0
0.22,0.31,0.6029908112113477,0.0
0.22,0.32,0.6127752395663492,0.0
0.22,0.35,207.79937187920504,346.0
0.22,0.4,216.13265500674444,360.0
0.22,0.45,211.6027385558856,353.0
0.22,0.5,208.758054808951,348.0
0.22,0.55,221.3170294140568,369.0
0.22,0.6,200.4325183595964,334.0
0.22,0.65,214.07974637587,356.0
0.22,0.7,208.5106362527963,346.0
0.22,0.75,193.70760787690745,320.0
0.22,0.8,202.0962290370641,332.0
0.22,0.85,234.3229098741111,382.0
0.22,0.9,219.95880662240285,354.0
0.22,0.95,226.4098554863759,357.0
0.23,0.05,198.3879637881452,310.0
0.23,0.1,228.28554896831272,365.0
0.23,0.15,236.8518788878154,383.0
0.23,0.2,217.1221839268873,354.0
0.23,0.25,223.3659679876846,366.0
0.23,0.3,239.58927893809107,394.0
0.23,0.35,233.86431003376885,386.0
0.23,0.4,221.22142501598543,366.0
0.23,0.45,199.8781683524299,331.0
0.23,0.5,202.45193103199807,335.0
0.23,0.55,206.01181043797683,341.0
0.23,0.6,218.7772510978809,362.0
0.23,0.65,186.5332627780693,308.0
0.23,0.7,199.737914807058,329.0
0.23,0.75,204.6863185820576,335.0
0.23,0.76,0.6136700912336882,0.0
0.23,0.8,224.5165069435185,366.0
0.23,0.85,212.21670550927448,343.0
0.23,0.9,229.79054877307985,367.0
0.23,0.95,224.63444219669017,351.0
0.24,0.05,223.82103150044392,347.0
0.24,0.1,231.9108596401556,367.0
0.24,0.15,210.9093997202133,338.0
0.24,0.2,223.4580857669415,361.0
0.24,0.25,217.65143122063884,354.0
0.24,0.3,224.27527110075025,366.0
0.24,0.35,215.17421689027165,352.0
0.24,0.4,224.88931803347856,369.0
0.24,0.45,231.3265162387288,380.0
0.24,0.5,210.5708785487353,346.0
0.24,0.55,224.1180122976457,368.0
0.24,0.6,228.4100654032183,375.0
0.24,0.65,216.2243761116236,354.0
0.24,0.7,211.1686917539741,345.0
0.24,0.71,0.6218707751574102,0.0
0.24,0.75,228.8701598458311,372.0
0.24,0.8,218.89759572073976,354.0
0.24,0.85,226.4005756278599,363.0
0.24,0.9,225.5544771820466,357.0
0.24,0.95,226.14881048821547,350.0
0.25,0.05,246.40599573291752,378.0
0.25,0.1,210.810862727864,331.0
0.25,0.15,237.4924304240176,378.0
0.25,0.2,247.08459017430283,396.0
0.25,0.25,224.461523961685,362.0
0.25,0.3,197.32561157403407,320.0
0.25,0.35,201.25220353574147,327.0
0.25,0.4,206.43310186253328,336.0
0.25,0.45,214.6250498002696,350.0
0.25,0.5,234.8718329561499,383.0
0.25,0.55,232.48188614575608,379.0
0.25,0.6,233.31502446569704,380.0
0.25,0.65,206.0392922400784,335.0
0.25,0.7,209.3411342852449,339.0
0.25,0.75,216.3015240645512,349.0
0.25,0.8,245.45993467015515,394.0
0.25,0.85,214.34420929328084,341.0
0.25,0.9,229.70559914529755,361.0
0.25,0.95,236.16110269942607,362.0
0.26,0.05,237.4842834764061,361.0
0.26,0.1,220.84761630041027,343.0
0.26,0.15,218.11850914295687,344.0
0.26,0.16,0.6550271129378239,0.0
0.26,0.2,221.9423811750284,352.0
0.26,0.25,227.989740851616,365.0
0.26,0.3,218.0718385610537,351.0
0.26,0.32,0.6215258081778156,0.0
0.26,0.35,229.8707917569549,371.0
0.26,0.36,0.6095255680176099,0.0
0.26,0.4,213.411152035904,345.0
0.26,0.45,203.74183464634336,330.0
0.26,0.5,215.56438001082995,349.0
0.26,0.55,230.66124915668755,373.0
0.26,0.6,223.96405595111528,362.0
0.26,0.65,218.4324431753958,352.0
0.26,0.7,215.0524463936776,346.0
0.26,0.75,227.2866590688944,364.0
0.26,0.77,0.6252265019128317,0.0
0.26,0.8,210.37507289452472,335.0
0.26,0.85,221.38400874958248,349.0
0.26,0.88,0.6429802828940154,0.0
0.26,0.9,221.580708426744,345.0
0.26,0.95,229.50725953741144,349.0
0.27,0.05,237.1268072756592,357.0
0.27,0.1,229.3515312309742,354.0
0.27,0.15,225.756858895934,353.0
0.27,0.2,228.0638110136643,360.0
0.27,0.25,232.20556423211383,369.0
0.27,0.3,226.695750195714,362.0
0.27,0.35,211.2539402417088,338.0
0.27,0.4,211.22562340185448,339.0
0.27,0.45,244.0067195325368,392.0
0.27,0.5,229.8738169647344,369.0
0.27,0.55,222.1509699821337,357.0
0.27,0.6,207.58320520856617,333.0
0.27,0.65,229.63386580609028,368.0
0.27,0.7,231.72832412412305,370.0
0.27,0.75,231.01274803766827,367.0
0.27,0.8,208.8283930504425,330.0
0.27,0.85,235.9864577895884,369.0
0.27,0.9,239.87199227741505,370.0
0.27,0.95,246.461133305091,371.0
0.28,0.05,256.4848819994981,383.0
0.28,0.1,227.9599911693661,349.0
0.28,0.15,232.0019027840948,360.0
0.28,0.2,208.2464039173753,326.0
0.28,0.25,248.6849615752336,392.0
0.28,0.3,215.87976453234285,342.0
0.28,0.32,0.6314530615508684,0.0
0.28,0.35,231.4200471240797,368.0
0.28,0.4,226.53731197997743,361.0
0.28,0.45,228.1640102630477,364.0
0.28,0.5,227.53225987961403,363.0
0.28,0.55,227.14104265062068,362.0
0.28,0.6,222.1513271366273,354.0
0.28,0.65,226.62648147093384,360.0
0.28,0.7,210.3044888622213,333.0
0.28,0.75,252.61638344208205,398.0
0.28,0.8,208.6847130624633,327.0
0.28,0.85,214.65245623329915,333.0
0.28,0.9,237.8278003112564,364.0
0.28,0.95,225.5676618898342,336.0
0.28,0.98,0.6916356090222749,0.0
0.29,0.05,239.75227973110165,355.0
0.29,0.1,220.58447909888983,335.0
0.29,0.15,232.6629490961036,358.0
0.29,0.2,226.4962627482301,352.0
0.29,0.25,252.3745244706104,395.0
0.29,0.3,238.037338820192,374.0
0.29,0.35,215.49287005634827,340.0
0.29,0.4,244.17247092437216,386.0
0.29,0.45,212.9171251345481,337.0
0.29,0.5,210.2464994339361,333.0
0.29,0.55,230.0757839165757,364.0
0.29,0.6,229.60952480554377,363.0
0.29,0.65,229.5026393519941,362.0
0.29,0.66,0.6352600623269399,0.0
0.29,0.7,207.2903640296623,326.0
0.29,0.75,227.61083154709016,356.0
0.29,0.8,236.7645680079112,368.0
0.29,0.85,235.545726820605,363.0
0.29,0.9,248.1884442543104,377.0
0.29,0.95,227.2521738992729,336.0
0.3,0.05,244.4474352866676,359.0
0.3,0.1,211.3524859450808,318.0
0.3,0.13,0.6350647593228425,0.0
0.3,0.15,234.3534054032292,358.0
0.3,0.2,241.80322052636,373.0
0.3,0.25,258.4022683835887,401.0
0.3,0.3,222.99251718860265,348.0
0.3,0.35,249.89806765414107,391.0
0.3,0.4,223.6858781666324,351.0
0.3,0.45,208.07543246306315,327.0
0.3,0.5,230.2406124176436,362.0
0.3,0.55,216.35286312086896,340.0
0.3,0.58,0.6359394515269936,0.0
0.3,0.6,247.89359665413133,389.0
0.3,0.65,232.88795208792405,364.0
0.3,0.7,217.3875182494521,339.0
0.3,0.75,236.35957556963783,367.0
0.3,0.8,222.3576318349796,343.0
0.3,0.85,258.5323394409763,395.0
0.3,0.9,242.4177786534084,365.0
0.3,0.95,233.03891129780487,342.0
0.31,0.05,249.67749544980097,363.0
0.31,0.1,227.84630759060968,340.0
0.31,0.15,240.1582377258745,364.0
0.31,0.2,224.7970580484653,344.0
0.31,0.23,0.6517745770331534,0.0
0.31,0.25,221.6771758908557,341.0
0.31,0.3,223.3183843008508,346.0
0.31,0.35,232.251003135878,361.0
0.31,0.4,225.3458148906472,351.0
0.31,0.45,235.41687183760968,367.0
0.31,0.5,245.7375199367013,384.0
0.31,0.55,221.1853402455473,345.0
0.31,0.6,220.69874228925843,344.0
0.31,0.65,237.42192087842005,369.0
0.31,0.66,0.6474111644393562,0.0
0.31,0.7,230.63011531310107,357.0
0.31,0.75,222.4941039476649,343.0
0.31,0.8,241.51330737413684,370.0
0.31,0.85,224.857221308982,341.0
0.31,0.9,227.984068544494,340.0
0.31,0.95,240.84353357345265,350.0
0.32,0.05,268.566400734615,388.0
0.32,0.1,269.5687605652046,399.0
0.32,0.15,241.975307921268,364.0
0.32,0.2,255.5366034091932,388.0
0.32,0.25,234.45088892683825,359.0
0.32,0.3,222.91237891337707,343.0
0.32,0.35,233.97150917401345,361.0
0.32,0.4,259.2865251325092,401.0
0.32,0.45,226.08040114316063,350.0
0.32,0.5,237.6139999906129,368.0
0.32,0.55,226.6091479674405,351.0
0.32,0.6,211.894162344632,328.0
0.32,0.65,222.98800518862592,344.0
0.32,0.7,234.72147973654344,361.0
0.32,0.75,250.18544325404503,383.0
0.32,0.8,232.9146599337756,354.0
0.32,0.85,224.09749182890693,337.0
0.32,0.9,232.3192713226269,344.0
0.32,0.95,271.1632216091444,391.0
0.33,0.05,267.17677765631925,382.0
0.33,0.1,228.5607154447341,336.0
0.33,0.15,255.92737464071328,382.0
0.33,0.2,233.31602163852423,352.0
0.33,0.25,242.3610288640432,368.0
0.33,0.3,216.8829453207433,331.0
0.33,0.35,241.75661337817988,370.0
0.33,0.4,226.61065572327385,348.0
0.33,0.45,243.107245197238,373.0
0.33,0.5,227.38246041152,350.0
0.33,0.55,209.42827227972373,322.0
0.33,0.6,247.3011028998528,380.0
0.33,0.65,243.98141843801363,374.0
0.33,0.7,233.8342308931066,357.0
0.33,0.75,228.5295443928449,347.0
0.33,0.76,0.6583394127409066,0.0
0.33,0.8,234.142550003428,353.0
0.33,0.85,238.5711728485423,356.0
0.33,0.9,247.5632676982557,364.0
0.33,0.95,257.1823044419423,368.0
0.34,0.05,243.2916734198776,346.0
0.34,0.1,265.3833544202908,387.0
0.34,0.15,263.95856641392925,391.0
0.34,0.2,243.8204078216156,365.0
0.34,0.25,233.51609333648275,352.0
0.34,0.3,210.4192835618698,319.0
0.34,0.35,243.8903076906802,371.0
0.34,0.4,230.01850944767253,351.0
0.34,0.45,222.57097138624616,340.0
0.34,0.5,230.3154991093957,352.0
0.34,0.55,218.65473259052533,334.0
0.34,0.6,244.2329426796341,372.0
0.34,0.65,236.85391651477968,360.0
0.34,0.7,238.98530966824808,362.0
0.34,0.75,241.57496832275305,364.0
0.34,0.8,239.2277297705434,358.0
0.34,0.85,223.00149875866748,330.0
